datetime,tempmin,tempmax,temp
2026-04-13,18.0,26.6,21.0
2026-04-14,16.9,25.1,20.0
2026-04-15,15.9,26.6,20.1
2026-04-16,16.9,27.4,20.9
2026-04-17,17.0,29.2,23.2
2026-04-18,20.5,28.7,23.6
2026-04-19,16.5,27.6,21.4
2026-04-20,16.4,24.7,19.8
