name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"São Paulo, SP, Brasil",2026-04-24,28.0,17.1,21.8,27.7,17.1,21.8,16.1,72.4,0.0,0,0.0,,0,0,24.1,16.9,114.4,1019.8,66.8,9.5,155.3,13.4,6,10,2026-04-24T06:24:02,2026-04-24T17:45:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-25,28.5,17.8,23.4,28.6,17.8,23.4,15.7,63.8,0.0,0,0.0,,0,0,44.6,22.1,329.4,1016.5,42.8,10.0,155.5,13.3,6,10,2026-04-25T06:24:28,2026-04-25T17:44:31,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-26,29.5,18.7,24.4,29.3,18.7,24.5,16.3,62.2,0.0,0,0.0,,0,0,40.7,23.6,330.6,1015.1,39.1,10.0,162.3,14.2,7,10,2026-04-26T06:24:54,2026-04-26T17:43:46,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-27,27.6,19.8,22.8,28.3,19.8,22.9,18.3,76.6,6.7,100,20.83,rain,0,0,29.9,23.7,265.7,1016.5,75.5,9.5,67.5,6.0,4,10,2026-04-27T06:25:20,2026-04-27T17:43:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-28,25.8,19.0,21.6,25.8,19.0,21.6,19.1,86.1,7.4,100,45.83,rain,0,0,19.8,16.1,128.8,1018.3,83.8,8.8,94.8,8.1,5,10,2026-04-28T06:25:46,2026-04-28T17:42:18,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-29,28.4,18.0,21.3,29.5,18.0,21.4,18.3,84.5,8.3,100,54.17,rain,0,0,40.7,22.6,133.2,1018.4,80.3,9.1,91.2,7.9,6,30,2026-04-29T06:26:12,2026-04-29T17:41:35,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-30,26.6,17.9,20.4,26.6,17.9,20.4,17.4,83.4,1.2,100,12.5,rain,0,0,21.2,20.2,121.7,1019.7,72.7,9.9,136.3,11.8,6,10,2026-04-30T06:26:39,2026-04-30T17:40:53,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-05-01,26.5,18.0,21.7,26.5,18.0,21.7,17.9,80.0,1.0,100,12.5,rain,0,0,22.3,12.9,91.7,1020.7,74.3,11.7,118.8,10.1,5,10,2026-05-01T06:27:05,2026-05-01T17:40:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR,remote"
