datetime,description,icon
2026-04-25,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-26,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-27,Partly cloudy throughout the day with rain.,rain
2026-04-28,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2026-04-29,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2026-04-30,Partly cloudy throughout the day with early morning rain.,rain
2026-05-01,Partly cloudy throughout the day with rain.,rain
2026-05-02,Partly cloudy throughout the day with a chance of rain.,rain
