datetime,tempmin,tempmax,temp
2026-04-25,17.8,28.5,23.4
2026-04-26,18.7,29.5,24.4
2026-04-27,19.8,27.6,22.8
2026-04-28,19.0,25.8,21.6
2026-04-29,18.0,28.4,21.3
2026-04-30,17.9,26.6,20.4
2026-05-01,18.0,26.5,21.8
2026-05-02,18.6,28.0,23.0
