datetime,description,icon
2026-04-06,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
2026-04-07,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2026-04-08,Partly cloudy throughout the day with afternoon rain.,rain
2026-04-09,Partly cloudy throughout the day with rain.,rain
2026-04-10,Partly cloudy throughout the day with afternoon rain.,rain
2026-04-11,Clear conditions throughout the day.,clear-day
2026-04-12,Clear conditions throughout the day.,clear-day
2026-04-13,Partly cloudy throughout the day with afternoon rain.,rain
