name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"São Paulo, SP, Brasil",2026-04-06,27.9,19.0,22.6,28.7,19.0,22.8,18.7,79.8,0.8,100,8.33,rain,0,0,29.9,23.3,115.9,1019.9,36.3,9.8,182.5,15.7,7,,2026-04-06T06:16:48,2026-04-06T18:00:57,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-07,27.7,21.0,23.0,29.1,21.0,23.2,19.6,81.9,2.9,100,45.83,rain,0,0,38.9,16.6,13.8,1019.0,37.9,9.7,110.8,9.5,7,,2026-04-07T06:17:12,2026-04-07T18:00:00,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-08,26.0,19.0,23.1,26.0,19.0,23.1,18.4,75.6,0.1,100,0.0,rain,0,0,54.4,25.4,321.7,1016.3,32.4,9.9,104.7,9.0,5,,2026-04-08T06:17:35,2026-04-08T17:59:04,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-09,26.0,19.4,22.3,26.0,19.4,22.3,18.4,79.2,4.1,100,45.83,rain,0,0,36.0,16.9,233.5,1016.9,53.6,9.8,70.7,6.1,4,,2026-04-09T06:17:58,2026-04-09T17:58:08,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-10,20.0,17.0,18.2,20.0,17.0,18.2,15.6,84.3,0.2,100,4.17,rain,0,0,34.6,16.3,124.2,1020.4,59.6,9.7,52.2,4.6,2,,2026-04-10T06:18:21,2026-04-10T17:57:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-11,24.6,15.1,19.3,24.6,15.1,19.3,14.3,74.3,0.0,0,0.0,,0,0,38.5,21.9,118.2,1022.4,14.9,10.0,175.8,15.1,7,,2026-04-11T06:18:45,2026-04-11T17:56:18,0.81,Clear,Clear conditions throughout the day.,clear-day,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-12,26.5,15.0,19.9,26.5,15.0,19.9,15.1,75.3,0.0,0,0.0,,0,0,27.0,19.9,118.2,1022.2,17.4,10.0,178.2,15.4,7,,2026-04-12T06:19:08,2026-04-12T17:55:24,0.84,Clear,Clear conditions throughout the day.,clear-day,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-13,26.6,18.0,21.0,26.6,18.0,21.0,16.5,77.2,0.4,100,0.0,rain,0,0,25.2,20.0,103.1,1019.5,30.7,9.8,143.5,12.6,7,,2026-04-13T06:19:32,2026-04-13T17:54:30,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
