datetime,description,icon
2026-03-30,Clear conditions throughout the day with late afternoon rain.,rain
2026-03-31,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2026-04-01,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
2026-04-02,Clear conditions throughout the day with rain.,rain
2026-04-03,Clear conditions throughout the day with rain.,rain
2026-04-04,Clear conditions throughout the day with rain.,rain
2026-04-05,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
2026-04-06,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
