datetime,tempmin,tempmax,temp
2026-03-30,18.0,27.4,21.3
2026-03-31,18.6,24.6,20.3
2026-04-01,18.0,27.0,21.5
2026-04-02,19.6,28.1,23.0
2026-04-03,19.0,28.6,23.7
2026-04-04,19.5,29.6,23.7
2026-04-05,19.0,27.0,23.0
2026-04-06,19.0,27.9,22.6
