name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"São Paulo, SP, Brasil",2026-03-30,27.4,18.0,21.3,28.2,18.0,21.4,17.7,80.5,0.6,100,8.33,rain,0,0,30.6,18.8,135.8,1018.0,17.9,9.6,151.8,13.1,7,,2026-03-30T06:14:08,2026-03-30T18:07:41,0.41,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-03-31,24.6,18.6,20.3,24.6,18.6,20.3,17.5,84.9,7.3,100,58.33,rain,0,0,28.8,22.5,141.5,1015.5,51.8,9.5,155.8,13.5,8,,2026-03-31T06:14:31,2026-03-31T18:06:42,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-01,27.0,18.0,21.5,27.6,18.0,21.5,17.5,79.1,7.5,100,16.67,rain,0,0,29.9,17.8,74.0,1015.9,41.6,9.8,148.2,12.7,7,,2026-04-01T06:14:54,2026-04-01T18:05:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,SBSP,F7461,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-02,28.1,19.6,23.0,29.0,19.6,23.2,18.4,76.6,8.8,100,25.0,rain,0,0,38.2,19.7,357.9,1017.0,17.9,9.9,143.9,12.4,6,,2026-04-02T06:15:17,2026-04-02T18:04:46,0.52,Rain,Clear conditions throughout the day with rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-03,28.6,19.0,23.7,29.6,19.0,24.0,18.5,73.9,1.3,100,8.33,rain,0,0,39.6,22.3,341.1,1018.4,14.4,9.9,182.4,15.8,7,,2026-04-03T06:15:40,2026-04-03T18:03:48,0.55,Rain,Clear conditions throughout the day with rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-04,29.6,19.5,23.7,30.2,19.5,23.9,18.6,74.4,1.1,100,12.5,rain,0,0,28.8,19.4,53.3,1018.6,18.9,9.9,161.0,13.9,7,,2026-04-04T06:16:03,2026-04-04T18:02:51,0.58,Rain,Clear conditions throughout the day with rain.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-05,27.0,19.0,23.0,28.2,19.0,23.1,18.9,78.5,0.5,100,4.17,rain,0,0,33.5,22.1,129.6,1019.3,25.9,9.4,164.2,14.1,7,,2026-04-05T06:16:25,2026-04-05T18:01:54,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
"São Paulo, SP, Brasil",2026-04-06,27.9,19.0,22.6,28.7,19.0,22.8,18.7,79.8,0.8,100,8.33,rain,0,0,29.9,23.3,115.9,1019.9,36.3,9.8,182.5,15.7,7,,2026-04-06T06:16:48,2026-04-06T18:00:57,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,BRI0000SBSP,BRI0000SBGR,F7461,SBSP,SBGR,BRM00086908"
