datetime,tempmin,tempmax,temp
2026-04-20,16.3,24.6,19.7
2026-04-21,14.9,25.4,19.1
2026-04-22,15.0,26.1,19.5
2026-04-23,18.0,25.4,20.7
2026-04-24,17.1,28.0,21.8
2026-04-25,17.8,28.5,23.4
2026-04-26,18.7,29.5,24.4
2026-04-27,19.8,27.6,22.8
