name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"São Paulo, SP, Brasil",2026-04-20,24.6,16.3,19.7,24.6,16.3,19.7,14.0,71.6,0.0,0,0.0,,0,0,29.9,16.7,137.4,1019.4,49.6,10.0,177.6,15.3,7,10,2026-04-20T06:22:22,2026-04-20T17:48:29,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-21,25.4,14.9,19.1,25.4,14.9,19.1,14.0,74.4,0.0,0,0.0,,0,0,29.9,18.1,126.9,1019.7,56.3,10.0,174.0,14.9,7,10,2026-04-21T06:22:46,2026-04-21T17:47:40,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-22,26.1,15.0,19.5,26.1,15.0,19.5,15.3,78.5,0.0,0,0.0,,0,0,25.9,18.8,137.9,1019.9,59.0,9.8,160.1,13.7,6,10,2026-04-22T06:23:12,2026-04-22T17:46:52,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-23,25.4,18.0,20.7,25.4,18.0,20.7,16.2,76.5,0.0,0,0.0,,0,0,32.0,20.6,123.7,1020.6,83.2,9.5,127.7,11.0,6,10,2026-04-23T06:23:37,2026-04-23T17:46:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-24,28.0,17.1,21.8,27.7,17.1,21.8,16.1,72.4,0.0,0,0.0,,0,0,24.1,16.9,114.4,1019.8,66.8,9.5,155.3,13.4,6,10,2026-04-24T06:24:02,2026-04-24T17:45:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-25,28.5,17.8,23.4,28.6,17.8,23.4,15.7,63.8,0.0,0,0.0,,0,0,44.6,22.1,329.4,1016.5,42.8,10.0,155.5,13.3,6,10,2026-04-25T06:24:28,2026-04-25T17:44:31,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-26,29.5,18.7,24.4,29.3,18.7,24.5,16.3,62.2,0.0,0,0.0,,0,0,40.7,23.6,330.6,1015.1,39.1,10.0,162.3,14.2,7,10,2026-04-26T06:24:54,2026-04-26T17:43:46,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
"São Paulo, SP, Brasil",2026-04-27,27.6,19.8,22.8,28.3,19.8,22.9,18.3,76.6,6.7,100,20.83,rain,0,0,29.9,23.7,265.7,1016.5,75.5,9.5,67.5,6.0,4,10,2026-04-27T06:25:20,2026-04-27T17:43:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
