datetime,description,icon
2026-04-20,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-21,Clearing in the afternoon.,partly-cloudy-day
2026-04-22,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-23,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-24,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-25,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-26,Partly cloudy throughout the day.,partly-cloudy-day
2026-04-27,Partly cloudy throughout the day with rain.,rain
